J. A. FENNELLY and D. G. TORR Photon Cross Sections for O, N2, O2, and N
TABLE 1. Photoionization and Photoabsorption Cross Sections for O, N2, O2, and N
See page 331 for Explanation of Tables
Wavelength(Angstrom) | O->       | N2->              | O2->              | N-> |
|    | 4S  2D  2P  4pe  2pe  ION | ABS  N2+  N+  ION | ABS  O2+  O+  ION | ION |
|    |                                x10-18 cm2                               |

804.27 36.41 0.00 0.00 0.00 0.00 36.41 7.82 0.00 0.00 0.00 37.07 11.40 0.00 11.40 10.76
804.38 9.14 0.00 0.00 0.00 0.00 9.14 8.30 0.00 0.00 0.00 38.71 12.23 0.00 12.23 10.76
804.50 5.34 0.00 0.00 0.00 0.00 5.34 8.80 0.00 0.00 0.00 40.44 13.14 0.00 13.14 10.76
804.78 48.94 0.00 0.00 0.00 0.00 48.94 9.96 0.00 0.00 0.00 44.41 15.35 0.00 15.35 10.75
805.00 7.20 0.00 0.00 0.00 0.00 7.20 10.90 0.00 0.00 0.00 47.66 17.28 0.00 17.28 10.75
805.29 11.73 0.00 0.00 0.00 0.00 11.73 12.14 0.00 0.00 0.00 46.92 17.60 0.00 17.60 10.75
805.44 3.64 0.00 0.00 0.00 0.00 3.64 12.75 0.00 0.00 0.00 45.31 17.17 0.00 17.17 10.75
805.74 15.37 0.00 0.00 0.00 0.00 15.37 56.86 0.00 0.00 0.00 41.90 16.22 0.00 16.22 10.74
806.00 3.64 0.00 0.00 0.00 0.00 3.64 18.00 0.00 0.00 0.00 39.06 15.38 0.00 15.38 10.74
806.23 5.91 0.00 0.00 0.00 0.00 5.91 95.95 0.00 0.00 0.00 36.48 14.58 0.00 14.58 10.74
806.42 1.62 0.00 0.00 0.00 0.00 1.62 159.70 0.00 0.00 0.00 34.37 13.91 0.00 13.91 10.74
807.00 2.06 0.00 0.00 0.00 0.00 2.06 46.70 0.00 0.00 0.00 27.90 11.72 0.00 11.72 10.73
808.00 2.13 0.00 0.00 0.00 0.00 2.13 6.70 0.00 0.00 0.00 34.98 10.61 0.00 10.61 10.72
808.20 2.14 0.00 0.00 0.00 0.00 2.14 4.42 0.00 0.00 0.00 36.40 10.19 0.00 10.19 10.72
808.50 2.17 0.00 0.00 0.00 0.00 2.17 1.00 0.0 0.00 0.0 32.55 9.12 0.00 9.12 10.72
808.80 2.19 0.00 0.00 0.00 0.00 2.19 33.30 0.00 0.00 0.00 28.71 8.04 0.00 8.04 10.71
809.00 2.20 0.00 0.00 0.00 0.00 2.20 33.30 0.00 0.00 0.00 26.15 7.32 0.00 7.32 10.71
809.30 2.22 0.00 0.00 0.00 0.00 2.22 13.92 0.00 0.00 0.00 22.30 6.24 0.00 6.24 10.71
809.50 2.24 0.00 0.00 0.00 0.00 2.24 1.00 0.00 0.00 0.00 24.92 7.42 0.00 7.42 10.70
810.00 2.27 0.00 0.00 0.00 0.00 2.27 8.00 0.00 0.00 0.00 31.46 10.75 0.00 10.75 10.70
810.50 2.31 0.00 0.00 0.00 0.00 2.31 4.50 0.00 0.00 0.00 38.00 14.65 0.00 14.65 10.70
810.66 15.23 0.00 0.00 0.00 0.00 15.23 3.35 0.00 0.00 0.00 40.15 16.07 0.00 16.07 10.69
810.85 2.82 0.00 0.00 0.00 0.00 2.82 2.05 0.00 0.00 0.00 42.57 17.73 0.00 17.73 10.69
811.00 32.62 0.00 0.00 0.00 0.00 32.62 1.00 0.00 0.00 0.00 44.54 19.13 0.00 19.13 10.69
811.26 3.39 0.00 0.00 0.00 0.00 3.39 1.96 0.00 0.00 0.00 47.94 21.6 0.00 21.69 10.69
811.49 7.90 0.00 0.00 0.00 0.00 7.90 2.81 0.00 0.00 0.00 50.92 24.06 0.00 24.06 10.69
811.61 4.74 0.00 0.00 0.00 0.00 4.74 3.26 0.00 0.00 0.00 52.51 25.38 0.00 25.38 10.68
811.80 2.80 0.00 0.00 0.00 0.00 2.80 3.96 0.00 0.00 0.00 55.00 27.50 0.00 27.50 10.68
812.00 3.67 0.00 0.00 0.00 0.00 3.67 4.70 0.00 0.00 0.00 47.69 20.85 0.00 20.85 10.68
812.27 3.95 0.00 0.00 0.00 0.00 3.95 15.50 0.00 0.00 0.00 37.81 13.32 0.00 13.32 10.68
812.50 1.97 0.00 0.00 0.00 0.00 1.97 24.70 0.00 0.00 0.00 29.40 8.23 0.00 8.23 10.68
812.80 2.21 0.00 0.00 0.00 0.00 2.21 100.00 0.00 0.00 0.00 30.80 9.16 0.00 9.16 10.67
813.00 2.38 0.00 0.00 0.00 0.00 2.38 33.40 0.00 0.00 0.00 31.73 9.81 0.00 9.81 10.67
813.50 2.79 0.00 0.00 0.00 0.00 2.79 50.00 0.00 0.00 0.00 34.07 11.53 0.00 11.53 10.66
813.70 2.95 0.00 0.00 0.00 0.00 2.95 62.00 0.00 0.00 0.00 35.00 12.25 0.00 12.25 10.66
814.00 3.19 0.00 0.00 0.00 0.00 3.19 80.00 0.00 0.00 0.00 30.90 11.90 0.00 11.90 10.66
814.50 3.60 0.00 0.00 0.00 0.00 3.60 14.70 0.00 0.00 0.00 24.07 10.67 0.00 10.67 10.66
814.90 3.93 0.00 0.00 0.00 0.00 3.93 11.50 0.00 0.00 0.00 18.60 9.11 0.00 9.11 10.65
815.50 4.42 0.00 0.00 0.00 0.00 4.42 6.70 0.00 0.00 0.00 25.59 12.77 0.00 12.77 10.65
816.00 4.83 0.00 0.00 0.00 0.00 4.83 14.00 0.00 0.00 0.00 31.42 15.92 0.00 15.92 10.64
816.42 5.17 0.00 0.00 0.00 0.00 5.17 24.92 0.00 0.00 0.00 36.31 18.63 0.00 18.63 10.64
816.77 65.14 0.00 0.00 0.00 0.00 65.14 33.92 0.00 0.00 0.00 40.34 20.91 0.00 20.91 10.63
817.00 4.14 0.00 0.00 0.00 0.00 4.14 40.00 0.00 0.00 0.00 43.07 22.47 0.00 22.47 10.63
817.19 1.86 0.00 0.00 0.00 0.00 1.86 44.94 0.00 0.00 0.00 45.28 23.76 0.00 23.76 10.63
817.50 3.10 0.00 0.00 0.00 0.00 3.10 53.00 0.00 0.00 0.00 37.81 20.02 0.00 20.02 10.63
817.78 22.02 0.00 0.00 0.00 0.00 22.02 60.20 0.00 0.00 0.00 30.80 16.44 0.00 16.44 10.62
818.00 2.59 0.00 0.00 0.00 0.00 2.59 66.00 0.00 0.00 0.00 25.16 13.51 0.00 13.51 10.62
818.20 7.40 0.00 0.00 0.00 0.00 7.40 71.20 0.00 0.00 0.00 20.10 10.85 0.00 10.85 10.62
818.34 1.96 0.00 0.00 0.00 0.00 1.96 74.84 0.00 0.00 0.00 21.11 11.06 0.00 11.06 10.62
818.50 1.55 0.00 0.00 0.00 0.00 1.55 79.00 0.0 0.00 0.00 22.26 11.27 0.00 11.27 10.62
819.00 1.68 0.00 0.00 0.00 0.00 1.68 92.00 0.00 0.0 0.00 25.85 11.63 0.00 11.63 10.61
819.50 1.82 0.00 0.00 0.00 0.00 1.82 12.00 0.00 0.00 0.00 29.44 11.59 0.00 11.59 10.61
819.80 1.90 0.00 0.00 0.00 0.00 1.90 6.60 0.00 0.00 0.00 31.60 11.38 0.00 11.38 10.60
820.00 1.95 0.00 0.00 0.00 0.00 1.95 3.00 0.00 0.00 0.00 29.52 10.61 0.00 10.61 10.60
820.50 2.09 0.00 0.00 0.00 0.00 2.09 7.30 0.00 0.00 0.00 24.32 8.71 0.00 8.71 10.59
821.00 2.22 0.00 0.00 0.00 0.00 2.22 26.70 0.00 0.00 0.00 19.12 6.82 0.00 6.82 10.58
821.30 2.30 0.00 0.00 0.00 0.00 2.30 18.66 0.00 0.00 0.00 16.00 5.69 0.00 5.69 10.57
821.50 2.36 0.00 0.00 0.00 0.00 2.36 13.30 0.0 0.00 0.00 17.29 6.14 0.00 6.14 10.57
822.00 2.49 0.00 0.00 0.00 0.00 2.49 3.00 0.00 0.00 0.00 20.53 7.26 0.00 7.26 10.56
823.00 2.76 0.00 0.00 0.00 0.00 2.76 3.00 0.00 0.00 0.00 27.01 9.47 0.00 9.47 10.54
823.20 2.82 0.00 0.00 0.00 0.00 2.82 3.00 0.00 0.00 0.00 28.30 9.90 0.00 9.90 10.54
824.00 3.03 0.00 0.00 0.00 0.00 3.03 3.00 0.00 0.00 0.00 17.37 9.01 0.00 9.01 10.52
824.50 3.17 0.00 0.00 0.00 0.00 3.17 8.00 0.00 0.00 0.00 20.10 9.78 0.00 9.78 10.51
824.90 3.27 0.00 0.00 0.00 0.00 3.27 12.24 0.00 0.00 0.00 24.20 10.49 0.00 10.49 10.50
825.30 3.30 0.00 0.00 0.00 0.00 3.30 8.92 0.00 0.00 0.00 20.10 7.64 0.00 7.64 10.49
825.50 3.30 0.00 0.00 0.00 0.00 3.30 6.00 0.00 0.00 0.00 22.64 8.09 0.00 8.09 10.49
826.00 3.30 0.00 0.00 0.00 0.00 3.30 33.30 0.00 0.00 0.00 29.00 8.70 0.00 8.70 10.48
826.50 3.30 0.00 0.00 0.00 0.00 3.30 25.30 0.00 0.00 0.00 18.31 6.87 0.00 6.87 10.47
826.80 3.30 0.00 0.00 0.00 0.00 3.30 18.10 0.00 0.00 0.00 11.90 5.00 0.00 5.00 10.46
827.00 3.30 0.00 0.00 0.00 0.00 3.30 13.30 0.00 0.00 0.00 11.98 4.96 0.00 4.96 10.46
827.50 3.30 0.00 0.00 0.00 0.00 3.30 3.00 0.00 0.00 0.00 12.18 4.86 0.00 4.86 10.45
827.80 3.30 0.00 0.00 0.00 0.00 3.30 3.00 0.00 0.00 0.00 12.30 4.80 0.00 4.80 10.44
828.00 3.30 0.00 0.00 0.00 0.00 3.30 3.00 0.00 0.00 0.00 11.86 4.72 0.00 4.72 10.44
828.30 3.30 0.00 0.00 0.00 0.00 3.30 3.00 0.00 0.00 0.00 11.20 4.59 0.00 4.59 10.43
829.00 3.30 0.00 0.00 0.00 0.00 3.30 3.00 0.00 0.00 0.00 18.52 7.35 0.00 7.35 10.42
829.40 3.30 0.00 0.00 0.00 0.00 3.30 3.00 0.00 0.00 0.00 22.70 8.83 0.00 8.83 10.41
829.60 3.30 0.00 0.00 0.00 0.00 3.30 3.00 0.00 0.00 0.00 22.30 8.59 0.00 8.59 10.41
829.80 3.30 0.00 0.00 0.00 0.00 3.30 3.00 0.00 0.00 0.00 23.10 8.81 0.00 8.81 10.40
830.00 3.30 0.00 0.00 0.00 0.00 3.30 3.00 0.00 0.00 0.00 21.05 7.95 0.00 7.95 10.40
831.00 3.30 0.00 0.00 0.00 0.00 3.30 3.00 0.00 0.00 0.00 10.80 3.87 0.00 3.87 10.38
832.00 3.30 0.00 0.00 0.00 0.00 3.30 3.00 0.00 0.00 0.00 25.40 3.62 0.00 8.62 10.36
832.50 3.30 0.00 0.00 0.00 0.00 3.30 3.00 0.00 0.00 0.00 32.70 10.79 0.00 10.79 10.35
832.80 3.30 0.00 0.00 0.00 0.00 3.30 3.00 0.00 0.00 0.00 28.52 10.84 0.00 10.84 10.34
832.90 3.30 0.00 0.00 0.00 0.00 3.30 3.00 0.00 0.00 0.00 27.12 10.31 0.00 10.31 10.34
833.50 3.30 0.00 0.00 0.00 0.00 3.30 5.30 0.00 0.00 0.00 18.76 7.27 0.00 7.27 10.33
833.70 3.30 0.00 0.00 0.00 0.00 3.30 8.50 0.00 0.00 0.00 15.97 6.23 0.00 6.23 10.33
834.00 3.30 0.00 0.00 0.00 0.00 3.30 13.30 0.00 0.00 0.00 11.79 4.56 0.00 4.56 10.32
834.20 3.30 0.00 0.00 0.00 0.00 3.30 13.30 0.00 0.00 0.00 10.50 4.03 0.00 4.03 10.32
834.50 3.30 0.00 0.00 0.00 0.00 3.30 13.30 0.00 0.00 0.00 10.80 4.10 0.00 4.10 10.31
835.00 3.30 0.00 0.00 0.00 0.00 3.30 83.30 0.00 0.00 0.00 10.36 3.85 0.00 3.85 10.30
835.20 3.30 0.00 0.00 0.00 0.00 3.30 180.00 0.00 0.00 0.00 10.18 3.77 0.00 3.77 10.30
835.40 3.30 0.00 0.00 0.00 0.00 3.30 135.75 0.00 0.00 0.00 10.00 3.70 0.00 3.70 10.29
836.00 3.30 0.00 0.00 0.00 0.00 3.30 3.00 0.00 0.00 0.00 14.73 5.45 0.00 5.45 10.28
836.30 3.30 0.00 0.00 0.00 0.00 3.30 3.00 0.00 0.00 0.00 17.10 6.33 0.00 6.33 10.27
837.00 3.30 0.00 0.00 0.00 0.00 3.30 3.00 0.00 0.00 0.00 14.35 5.31 0.00 5.31 10.26
837.50 3.30 0.00 0.00 0.00 0.00 3.30 20.00 0.00 0.00 0.00 12.38 4.58 0.00 4.58 10.25
837.80 3.30 0.00 0.00 0.00 0.00 3.30 15.98 0.00 0.00 0.00 11.20 4.14 0.00 4.14 10.24
838.00 3.30 0.00 0.00 0.00 0.00 3.30 13.30 0.00 0.00 0.00 14.53 5.37 0.00 5.37 10.24
838.60 3.30 0.00 0.00 0.00 0.00 3.30 41.32 0.00 0.00 0.00 24.50 9.07 0.00 9.07 10.23
838.90 3.30 0.00 0.00 0.00 0.00 3.30 55.33 0.00 0.00 0.00 23.40 10.48 0.00 10.48 10.22
840.00 3.30 0.00 0.00 0.00 0.00 3.30 3.00 0.00 0.00 0.00 19.89 8.33 0.00 8.33 10.20
840.50 3.30 0.00 0.00 0.00 0.00 3.30 1.00 0.00 0.00 0.00 17.11 6.97 0.00 6.97 10.16
840.70 3.29 0.00 0.00 0.00 0.00 3.29 50.00 0.00 0.00 0.00 15.99 6.44 0.00 6.44 10.15
841.00 3.29 0.00 0.00 0.00 0.00 3.29 26.70 0.00 0.00 0.00 14.32 5.67 0.00 5.67 10.13
841.50 3.29 0.00 0.00 0.00 0.00 3.29 20.00 0.00 0.00 0.00 11.54 4.43 0.00 4.43 10.10
842.00 3.28 0.00 0.00 0.00 0.00 3.28 96.70 0.00 0.00 0.00 8.76 3.26 0.00 3.26 10.06
842.50 3.28 0.00 0.00 0.00 0.00 3.28 13.30 0.00 0.00 0.00 9.16 3.33 0.00 3.33 10.02
843.00 3.27 0.00 0.00 0.00 0.00 3.27 6.70 0.00 0.00 0.00 10.37 3.67 0.00 3.67 9.99
843.50 3.27 0.00 0.00 0.00 0.00 3.27 3.00 0.00 0.00 0.00 11.58 4.00 0.00 4.00 9.95
843.80 3.26 0.00 0.00 0.00 0.00 3.26 1.80 0.00 0.00 0.00 12.30 4.18 0.00 4.18 9.93
844.00 3.26 0.00 0.00 0.00 0.00 3.26 1.00 0.00 0.00 0.00 11.72 4.07 0.00 4.07 9.92
844.50 3.26 0.00 0.00 0.00 0.00 3.26 26.70 0.00 0.00 0.00 10.29 3.77 0.00 3.77 9.89
845.00 3.25 0.00 0.00 0.00 0.00 3.25 13.30 0.00 0.00 0.00 12.65 4.33 0.00 4.33 9.85
845.50 3.25 0.00 0.00 0.00 0.00 3.25 3.00 0.00 0.00 0.00 15.95 4.91 0.00 4.91 9.81
845.90 3.24 0.00 0.00 0.00 0.00 3.24 1.40 0.00 0.00 0.00 18.60 5.21 0.00 5.21 9.79
847.00 3.23 0.00 0.00 0.00 0.00 3.23 1.00 0.00 0.00 0.00 11.35 3.55 0.00 3.55 9.71
847.60 3.22 0.00 0.00 0.00 0.00 3.22 1.00 0.00 0.00 0.00 7.40 2.44 0.00 2.44 9.67
848.00 3.22 0.00 0.00 0.00 0.00 3.22 1.00 0.00 0.00 0.00 7.58 2.67 0.00 2.67 9.64
848.50 3.22 0.00 0.00 0.00 0.00 3.22 1.00 0.00 0.00 0.00 7.80 2.96 0.00 2.96 9.60
849.00 3.21 0.00 0.00 0.00 0.00 3.21 1.00 0.00 0.00 0.00 7.51 3.34 0.00 3.34 9.57
849.20 3.21 0.00 0.00 0.00 0.00 3.21 7.28 0.00 0.00 0.00 7.40 3.48 0.00 3.48 9.56
849.50 3.21 0.00 0.00 0.00 0.00 3.21 16.70 0.00 0.00 0.00 7.89 3.61 0.00 3.61 9.53
850.00 3.20 0.00 0.00 0.00 0.00 3.20 46.70 0.00 0.00 0.00 8.71 3.80 0.00 3.80 9.50
850.60 3.19 0.00 0.00 0.00 0.00 3.19 26.66 0.00 0.00 0.00 9.70 3.98 0.00 3.98 9.47
851.00 3.18 0.00 0.00 0.00 0.00 3.18 13.30 0.00 0.00 0.00 9.33 3.87 0.00 3.87 9.45
851.50 3.17 0.00 0.00 0.00 0.00 3.17 6.70 0.00 0.00 0.00 8.87 3.73 0.00 3.73 9.43
851.80 3.16 0.00 0.00 0.00 0.00 3.16 4.48 0.00 0.00 0.00 8.60 3.65 0.00 3.65 9.42
852.00 3.16 0.00 0.00 0.00 0.00 3.16 3.00 0.00 0.00 0.00 9.17 3.91 0.00 3.91 9.41
852.19 3.16 0.00 0.00 0.00 0.00 3.16 2.24 0.00 0.00 0.00 9.71 4.16 0.00 4.16 9.40
852.50 3.15 0.00 0.00 0.00 0.00 3.15 1.00 0.00 0.00 0.00 10.60 4.58 0.00 4.58 5.96
853.00 3.14 0.00 0.00 0.00 0.00 3.14 3.00 0.00 0.00 0.00 12.03 5.26 0.00 5.26 0.40
853.20 3.14 0.00 0.00 0.00 0.00 3.14 36.48 0.00 0.00 0.00 12.60 5.54 0.00 5.54 0.39
853.50 3.13 0.00 0.00 0.00 0.00 3.13 86.70 0.00 0.00 0.00 11.68 5.10 0.00 5.10 0.37
854.00 3.12 0.00 0.00 0.00 0.00 3.12 66.70 0.00 0.00 0.00 10.16 4.38 0.00 4.38 0.34
864.50 3.11 0.00 0.00 0.00 0.00 3.11 46.70 0.00 0.00 0.00 8.63 3.67 0.00 3.67 0.31
855.00 3.10 0.00 0.00 0.00 0.00 3.10 20.00 0.00 0.00 0.00 7.10 2.98 0.00 2.98 0.29
855.50 3.10 0.00 0.00 0.00 0.00 3.10 13.30 0.00 0.00 0.00 7.73 3.26 0.00 3.26 0.26
856.00 3.10 0.00 0.00 0.00 0.00 3.10 3.00 0.00 0.00 0.00 8.36 3.55 0.00 3.55 0.23
856.20 3.10 0.00 0.00 0.00 0.00 3.10 173.30 0.00 0.00 0.00 8.61 3.66 0.00 3.66 0.22
856.50 3.10 0.00 0.00 0.00 0.00 3.10 20.00 0.00 0.00 0.00 8.99 3.83 0.00 3.83 0.20
857.00 3.10 0.00 0.00 0.00 0.00 3.10 8.70 0.00 0.00 0.00 9.62 4.12 0.00 4.12 0.17
857.30 3.10 0.00 0.00 0.00 0.00 3.10 12.13 0.00 0.00 0.00 10.00 4.30 0.00 4.30 0.15
857.70 3.10 0.00 0.00 0.00 0.00 3.10 16.70 0.00 0.00 0.00 9.31 3.94 0.00 3.94 0.13
858.00 3.10 0.00 0.00 0.00 0.00 3.10 13.30 0.00 0.00 0.00 8.78 3.68 0.00 3.68 0.11
858.50 3.10 0.00 0.00 0.00 0.00 3.10 6.70 0.00 0.00 0.00 7.92 3.25 0.00 3.25 0.09
859.00 3.10 0.00 0.00 0.00 0.00 3.10 3.00 0.00 0.00 0.00 7.05 2.84 0.00 2.84 0.06
859.20 3.10 0.00 0.00 0.00 0.00 3.10 3.00 0.00 0.00 0.00 6.70 2.68 0.00 2.68 0.05
860.00 3.10 0.00 0.00 0.00 0.00 3.10 3.00 0.00 0.00 0.00 7.01 3.55 0.00 3.55 0.00
860.40 3.10 0.00 0.00 0.00 0.00 3.10 1.00 0.00 0.00 0.00 7.17 4.01 0.00 4.01 0.00
861.00 3.10 0.00 0.00 0.00 0.00 3.10 6.00 0.00 0.00 0.00 7.40 4.74 0.00 4.74 0.00
861.50 3.10 0.00 0.00 0.00 0.00 3.10 1.00 0.00 0.00 0.00 7.66 4.88 0.00 4.88 0.00
862.00 3.10 0.00 0.00 0.00 0.00 3.10 1.00 0.00 0.00 0.00 7.93 5.03 0.00 5.03 0.00
863.00 3.10 0.00 0.00 0.00 0.00 3.10 1.00 0.00 0.00 0.00 8.46 5.32 0.00 5.32 0.00
863.20 3.10 0.00 0.00 0.00 0.00 3.10 33.40 0.00 0.00 0.00 8.56 5.37 0.00 5.37 0.00
864.00 3.10 0.00 0.00 0.00 0.00 3.10 6.00 0.00 0.00 0.00 8.98 5.60 0.00 5.60 0.00
864.60 3.10 0.00 0.00 0.00 0.00 3.10 3.00 0.00 0.00 0.00 9.30 5.77 0.00 5.77 0.00
865.00 3.10 0.00 0.00 0.00 0.00 3.10 1.00 0.00 0.00 0.00 8.81 5.42 0.00 5.42 0.00
865.20 3.10 0.00 0.00 0.00 0.00 3.10 86.70 0.00 0.00 0.00 8.56 5.26 0.00 5.26 0.00
865.40 3.10 0.00 0.00 0.00 0.00 3.10 106.70 0.00 0.00 0.00 8.31 5.09 0.00 5.09 0.00
866.00 3.10 0.00 0.00 0.00 0.00 3.10 3.00 0.00 0.00 0.00 7.57 4.59 0.00 4.59 0.00
866.50 3.10 0.00 0.00 0.00 0.00 3.10 1.00 0.00 0.00 0.00 6.96 4.18 0.00 4.18 0.00
867.00 3.10 0.00 0.00 0.00 0.00 3.10 65.00 0.00 0.00 0.00 6.34 3.78 0.00 3.78 0.00
867.50 3.10 0.00 0.00 0.00 0.00 3.10 32.00 0.00 0.00 0.00 5.72 3.38 0.00 3.38 0.00
868.00 3.10 0.00 0.00 0.00 0.00 3.10 14.00 0.00 0.00 0.00 6.03 3.56 0.00 3.56 0.00
868.50 3.10 0.00 0.00 0.00 0.00 3.10 11.00 0.00 0.00 0.00 6.58 3.88 0.00 3.88 0.00
869.00 3.10 0.00 0.00 0.00 0.00 3.10 10.00 0.00 0.00 0.00 7.12 4.20 0.00 4.20 0.00
869.50 3.10 0.00 0.00 0.00 0.00 3.10 6.00 0.00 0.00 0.00 7.66 4.52 0.00 4.52 0.00
870.00 3.10 0.00 0.00 0.00 0.00 3.10 3.00 0.00 0.00 0.00 8.20 4.84 0.00 4.84 0.00
870.80 3.77 0.00 0.00 0.00 0.00 3.77 120.00 0.00 0.00 0.00 9.23 5.44 0.00 5.44 0.00
871.00 3.94 0.00 0.00 0.00 0.00 3.94 25.00 0.00 0.00 0.00 9.49 5.60 0.00 5.60 0.00
871.40 4.27 0.00 0.00 0.00 0.00 4.27 26.00 0.00 0.00 0.00 10.00 5.90 0.00 5.90 0.00
872.00 4.77 0.00 0.00 0.00 0.00 4.77 80.00 0.00 0.00 0.00 9.31 5.56 0.00 5.56 0.00
872.50 5.19 0.00 0.00 0.00 0.00 5.19 33.00 0.00 0.00 0.00 8.73 5.27 0.00 5.27 0.00
873.00 5.61 0.00 0.00 0.00 0.00 5.61 12.00 0.00 0.00 0.00 8.15 4.98 0.00 4.98 0.00
873.50 6.02 0.00 0.00 0.00 0.00 6.02 10.00 0.00 0.00 0.00 7.57 4.67 0.00 4.67 0.00
874.00 6.44 0.00 0.00 0.00 0.00 6.44 6.00 0.00 0.00 0.00 6.99 4.36 0.00 4.36 0.00
874.50 6.86 0.00 0.00 0.00 0.00 6.86 3.00 0.00 0.00 0.00 6.41 4.04 0.00 4.04 0.00
875.00 7.28 0.00 0.00 0.00 0.00 7.28 3.00 0.00 0.00 0.00 5.83 3.72 0.00 3.72 0.00
875.20 7.44 0.00 0.00 0.00 0.00 7.44 3.00 0.00 0.00 0.00 5.60 3.58 0.00 3.58 0.00
875.50 7.70 0.00 0.00 0.00 0.00 7.70 3.00 0.00 0.00 0.00 6.41 4.13 0.00 4.13 0.00
876.00 8.11 0.00 0.00 0.00 0.00 8.11 107.00 0.00 0.00 0.00 7.75 5.07 0.00 5.07 0.00
876.20 8.28 0.00 0.00 0.00 0.00 8.28 60.00 0.00 0.00 0.00 8.29 5.45 0.00 5.45 0.00
876.50 8.53 0.00 0.00 0.00 0.00 8.53 54.00 0.00 0.00 0.00 9.10 6.03 0.00 6.03 0.00
877.00 8.95 0.00 0.00 0.00 0.00 8.95 30.00 0.00 0.00 0.00 10.44 7.01 0.00 7.01 0.00
877.50 9.37 0.00 0.00 0.00 0.00 9.37 24.00 0.00 0.00 0.00 11.79 8.01 0.00 8.01 0.00
877.72 11.82 0.00 0.00 0.00 0.00 11.82 23.12 0.00 0.00 0.00 12.38 8.46 0.00 8.46 0.00
878.50 34.88 0.00 0.00 0.00 0.00 34.88 20.00 0.00 0.00 0.00 12.74 8.75 0.00 8.75 0.00
878.92 9.93 0.00 0.00 0.00 0.00 9.93 13.28 0.00 0.00 0.00 12.04 8.23 0.00 8.23 0.00
879.20 4.73 0.00 0.00 0.00 0.00 4.73 9.60 0.00 0.00 0.00 11.58 7.89 0.00 7.89 0.00
879.50 6.81 0.00 0.00 0.00 0.00 6.81 6.00 0.00 0.00 0.00 11.08 7.53 0.00 7.53 0.00
879.80 5.20 0.00 0.00 0.00 0.00 5.20 4.20 0.00 0.00 0.00 10.59 7.17 0.00 7.17 0.00
880.00 5.11 0.00 0.00 0.00 0.00 5.11 3.00 0.00 0.00 0.00 10.26 6.93 0.00 6.93 0.00
880.50 4.88 0.00 0.00 0.00 0.00 4.88 5.00 0.00 0.00 0.00 9.43 6.33 0.00 6.33 0.00
881.00 4.66 0.00 0.00 0.00 0.00 4.66 110.00 0.00 0.00 0.00 8.60 5.74 0.00 5.74 0.00
881.50 4.43 0.00 0.00 0.00 0.00 4.43 67.00 0.00 0.00 0.00 7.78 5.16 0.00 5.16 0.00
882.00 4.21 0.00 0.00 0.00 0.00 4.21 51.00 0.00 0.00 0.00 6.95 4.59 0.00 4.59 0.00
882.50 3.98 0.00 0.00 0.00 0.00 3.98 1.00 0.00 0.00 0.00 6.12 4.02 0.00 4.02 0.00
882.70 3.89 0.00 0.00 0.00 0.00 3.89 54.00 0.00 0.00 0.00 5.79 3.79 0.00 3.79 0.00
883.00 3.75 0.00 0.00 0.00 0.00 3.75 27.00 0.00 0.00 0.00 5.30 3.45 0.00 3.45 0.00
883.30 3.62 0.00 0.00 0.00 0.00 3.62 16.80 0.00 0.00 0.00 4.80 3.12 0.00 3.12 0.00
883.50 3.53 0.00 0.00 0.00 0.00 3.53 10.00 0.00 0.00 0.00 5.85 3.79 0.00 3.79 0.00
884.00 3.30 0.00 0.00 0.00 0.00 3.30 1.00 0.00 0.00 0.00 8.47 5.46 0.00 5.46 0.00
884.50 3.08 0.00 0.00 0.00 0.00 3.08 3.00 0.00 0.00 0.00 11.09 7.10 0.00 7.10 0.00
885.00 2.85 0.00 0.00 0.00 0.00 2.85 1.00 0.00 0.00 0.00 13.71 8.72 0.00 8.72 0.00
885.50 2.84 0.00 0.00 0.00 0.00 2.84 3.00 0.00 0.00 0.00 16.33 10.33 0.00 10.33 0.00
885.80 2.83 0.00 0.00 0.00 0.00 2.83 6.60 0.00 0.00 0.00 17.90 11.28 0.00 11.28 0.00
886.00 2.82 0.00 0.00 0.00 0.00 2.82 9.00 0.00 0.00 0.00 17.11 10.95 0.00 10.95 0.00
886.50 2.81 0.00 0.00 0.00 0.00 2.81 15.00 0.00 0.00 0.00 15.12 10.07 0.00 10.07 0.00
886.90 2.79 0.00 0.00 0.00 0.00 2.79 80.00 0.00 0.00 0.00 13.53 9.29 0.00 9.29 0.00
887.50 2.78 0.00 0.00 0.00 0.00 2.78 18.00 0.00 0.00 0.00 11.15 8.00 0.00 8.00 0.00
888.00 2.76 0.00 0.00 0.00 0.00 2.76 30.00 0.00 0.00 0.00 9.17 6.81 0.00 6.81 0.00
888.50 2.75 0.00 0.00 0.00 0.00 2.75 12.00 0.00 0.00 0.00 7.18 5.52 0.00 5.52 0.00
889.00 2.73 0.00 0.00 0.00 0.00 2.73 20.00 0.00 0.00 0.00 5.20 4.13 0.00 4.13 0.00
889.50 2.72 0.00 0.00 0.00 0.00 2.72 14.00 0.00 0.00 0.00 6.00 4.80 0.00 4.80 0.00
890.00 2.70 0.00 0.00 0.00 0.00 2.70 12.00 0.00 0.00 0.00 7.50 6.00 0.00 6.00 0.00
